text,anxiety,depression,stress
I feel overwhelmed and my heart races all the time.,1,0,1
"Nothing feels good anymore, I’m always sad.",0,1,0
I have trouble sleeping and feel anxious all the time.,1,0,1
I cry often and feel hopeless about life.,0,1,1
Deadlines are stressing me out and I can’t focus.,1,0,1
I feel nervous in social situations.,1,0,0
I'm tired of everything and I don't see the point in trying.,0,1,0
I’m constantly stressed about exams and future.,1,0,1
I feel a tightness in my chest and worry a lot.,1,0,1
Everything feels numb and I have no motivation.,0,1,1
